step,camc_k1,random_k1,delta_k1,camc_k5,random_k5,delta_k5
5000,6.460866,4.937850,1.523016,6.932113,5.289578,1.642535
10000,18.098620,12.016801,6.081819,20.280699,13.389564,6.891135
15000,33.786368,20.478760,13.307608,36.757274,22.831580,13.925693
20000,48.009152,27.970906,20.038246,51.089332,30.747166,20.342166
25000,57.232618,38.642262,18.590357,59.687884,41.599508,18.088376
30000,63.348586,46.837864,16.510723,65.919956,49.634613,16.285344
35000,67.186860,50.174157,17.012703,69.754815,52.991395,16.763420
40000,69.116241,54.855894,14.260347,71.090015,57.208715,13.881300
45000,70.833902,57.932659,12.901243,72.889633,60.647453,12.242180
50000,72.418385,60.725994,11.692392,74.163366,63.338342,10.825024
55000,72.940855,63.444202,9.496653,74.982926,65.793607,9.189318
60000,73.459910,65.096981,8.362929,75.635159,67.576151,8.059008
65000,73.336976,65.906297,7.430679,75.310750,68.043983,7.266767
70000,73.521377,66.538041,6.983336,75.426854,68.511815,6.915039
75000,72.609616,66.722442,5.887174,74.474116,68.631335,5.842781
80000,72.964759,66.691709,6.273050,75.157082,68.767928,6.389154
85000,72.920366,67.009288,5.911078,74.972681,68.887447,6.085234
90000,72.654009,67.716159,4.937850,74.740473,69.638711,5.101762
95000,73.193553,67.555662,5.637891,74.853162,69.351864,5.501298
100000,72.671083,67.897145,4.773938,74.467286,69.963120,4.504166
105000,72.855484,67.654692,5.200792,74.651687,69.717252,4.934435
110000,71.660292,68.009835,3.650458,73.657970,70.086054,3.571916
115000,72.080317,68.317170,3.763147,74.142877,70.290944,3.851933
120000,71.585166,68.061057,3.524109,73.739926,70.287529,3.452397
125000,71.503210,68.341074,3.162136,73.811638,70.454856,3.356782
130000,71.711515,67.453217,4.258298,73.821882,69.635296,4.186587
135000,71.510040,67.852752,3.657287,73.763830,69.836771,3.927059
140000,71.079771,67.559077,3.520694,73.371124,69.351864,4.019260
145000,72.121295,67.866412,4.254883,74.282885,69.741156,4.541729
